Drug_PubChemCID,Drug_ChemicalID,Drug_Name,Ref_Database,Gene Symbol,Target_EntrezID
10882602,NA,NA,TTD,TRPM8,79054
17753849,NA,NA,DrugBank,HDAC8,55869
23586145,NA,NA,DrugBank,CDK2,1017
3074,35898-87-4,Dilazep,KEGG,SLC29A1,2030
16129620,NA,NA,KEGG|TTD,GHRHR,2692
16058646,NA,NA,TTD,BACE1,23621
46936485,NA,NA,DrugBank,FBP1,2203
5282469,NA,NA,KEGG,TRHR,7201
4628,NA,NA,TTD,TRPV1,7442
11511120,NA,NA,TTD,EGFR,1956
5276854,NA,NA,DrugBank,ADRA1B,147
5276854,NA,NA,DrugBank,ADRA2C,152
5276854,NA,NA,DrugBank,HTR2C,3358
5276854,NA,NA,DrugBank,ADRA1D,146
5276854,NA,NA,DrugBank,HTR2B,3357
5276854,NA,NA,DrugBank,OPRL1,4987
5276854,NA,NA,DrugBank,OPRM1,4988
5276854,NA,NA,DrugBank,ADRA2B,151
5276854,NA,NA,DrugBank,HTR2A,3356
5276854,NA,NA,DrugBank,ADRA1A,148
5276854,NA,NA,DrugBank,ADRA2A,150
5276854,NA,NA,DrugBank,HRH1,3269
1387,NA,NA,DrugBank,CA2,760
6862,NA,NA,DrugBank,SKP1,6500
451668,2353-33-5,Decitabine,KEGG,DNMT3A,1788
451668,2353-33-5,Decitabine,KEGG,DNMT3L,29947
451668,2353-33-5,Decitabine,KEGG,DNMT3B,1789
451668,2353-33-5,Decitabine,DrugBank|KEGG,DNMT1,1786
9838021,NA,NA,KEGG,OPRM1,4988
11840970,NA,NA,DrugBank,CTSK,1513
46937099,NA,NA,DrugBank,GSTP1,2950
56603688,NA,NA,TTD,CD19,930
54676228,36322-90-4,Piroxicam,KEGG,PTGS2,5743
54676228,36322-90-4,Piroxicam,KEGG,PTGS1,5742
5360545,7440-23-5,Sodium,TTD,ANGPT1,284
5360545,7440-23-5,Sodium,TTD,ANGPT2,285
13290219,NA,NA,KEGG,CA5A,763
13290219,NA,NA,KEGG,CA2,760
13290219,NA,NA,KEGG,CA4,762
13290219,NA,NA,KEGG,CA12,771
13290219,NA,NA,KEGG,CA6,765
13290219,NA,NA,KEGG,CA14,23632
13290219,NA,NA,KEGG,CA1,759
13290219,NA,NA,KEGG,CA7,766
13290219,NA,NA,KEGG,CA5B,11238
13290219,NA,NA,KEGG,CA8,767
13290219,NA,NA,KEGG,CA3,761
13290219,NA,NA,KEGG,CA13,377677
13290219,NA,NA,KEGG,CA9,768
42503,NA,NA,KEGG,DRD2,1813
42503,NA,NA,KEGG,DRD1,1812
23665584,NA,NA,KEGG,IMPDH1,3614
23665584,NA,NA,KEGG,IMPDH2,3615
46936447,NA,NA,DrugBank,PAPSS1,9061
91438,NA,NA,KEGG,NR3C1,2908
447341,NA,NA,DrugBank,ADA,100
4893,19216-56-9,Prazosin,DrugBank|KEGG,ADRA1B,147
4893,19216-56-9,Prazosin,DrugBank|KEGG,ADRA1D,146
4893,19216-56-9,Prazosin,DrugBank,KCNH7,90134
4893,19216-56-9,Prazosin,DrugBank,KCNH2,3757
4893,19216-56-9,Prazosin,DrugBank,ADRA2B,151
4893,19216-56-9,Prazosin,DrugBank|KEGG,ADRA1A,148
4893,19216-56-9,Prazosin,DrugBank,KCNH6,81033
4893,19216-56-9,Prazosin,DrugBank,ADRA2A,150
3957,79794-75-5,Loratadine,DrugBank|KEGG|TTD,HRH1,3269
9944398,NA,NA,DrugBank,AR,367
449193,NA,NA,DrugBank|KEGG,PDE4A,5141
449193,NA,NA,DrugBank|KEGG,PDE4B,5142
449193,NA,NA,DrugBank|KEGG,PDE4D,5144
449193,NA,NA,DrugBank|KEGG,PDE4C,5143
